Year,Region,Deaths,Population,%Death_Rate,%Rep_Leg,%Dem_Leg,%Mix_Leg,%Rep_Gov,%Dem_Gov,%Rep_State,%Dem_State,%Mix_State
2020,1,0.0,15057350.0,0.0,50.0,50.0,0.0,33.33333333333333,66.66666666666666,16.666666666666664,33.33333333333333,50.0
2020,2,0.0,29377965.0,0.0,100.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0
2020,3,0.0,31266184.0,0.0,80.0,20.0,0.0,60.0,40.0,60.0,20.0,20.0
2020,4,0.0,67334676.0,0.0,50.0,50.0,0.0,50.0,50.0,37.5,37.5,25.0
2020,5,0.0,53069303.0,0.0,66.66666666666666,33.33333333333333,0.0,100.0,0.0,66.66666666666666,0.0,33.33333333333333
2020,6,0.0,42990438.0,0.0,40.0,60.0,0.0,20.0,80.0,20.0,60.0,20.0
2020,7,0.0,14247444.0,0.0,75.0,25.0,0.0,50.0,50.0,25.0,0.0,75.0
2020,8,0.0,12403628.0,0.0,66.66666666666666,33.33333333333333,0.0,50.0,50.0,50.0,33.33333333333333,16.666666666666664
2020,9,0.0,51277312.0,0.0,50.0,50.0,0.0,25.0,75.0,25.0,50.0,25.0
2020,10,0.0,14553420.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2021,1,0.0,15118145.0,0.0,33.33333333333333,66.66666666666666,0.0,33.33333333333333,66.66666666666666,16.666666666666664,50.0,33.33333333333333
2021,2,0.0,29118817.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2021,3,0.0,31313820.0,0.0,80.0,20.0,0.0,60.0,40.0,60.0,20.0,20.0
2021,4,0.0,67852331.0,0.0,50.0,50.0,0.0,50.0,50.0,37.5,37.5,25.0
2021,5,0.0,52925511.0,0.0,66.66666666666666,33.33333333333333,0.0,100.0,0.0,66.66666666666666,0.0,33.33333333333333
2021,6,0.0,43334763.0,0.0,40.0,60.0,0.0,20.0,80.0,20.0,60.0,20.0
2021,7,0.0,14272862.0,0.0,50.0,50.0,0.0,50.0,50.0,25.0,25.0,50.0
2021,8,0.0,12514390.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2021,9,0.0,51011813.0,0.0,25.0,75.0,0.0,25.0,75.0,25.0,75.0,0.0
