Year,Region,Age Group,Race,COVID Deaths
2020,1,0-4 years,Hispanic,0
2020,1,12-17 years,Hispanic,0
2020,1,18-29 years,Hispanic,0
2020,1,30-39 years,Hispanic,0
2020,1,40-49 years,Hispanic,0
2020,1,5-11 years,Hispanic,0
2020,1,50-64 years,Hispanic,0
2020,1,65-74 years,Hispanic,0
2020,1,75 years and over,Hispanic,0
2020,1,0-4 years,Non-Hispanic American Indian or Alaska Native,0
2020,1,12-17 years,Non-Hispanic American Indian or Alaska Native,0
2020,1,18-29 years,Non-Hispanic American Indian or Alaska Native,0
2020,1,30-39 years,Non-Hispanic American Indian or Alaska Native,0
2020,1,40-49 years,Non-Hispanic American Indian or Alaska Native,0
2020,1,5-11 years,Non-Hispanic American Indian or Alaska Native,0
2020,1,50-64 years,Non-Hispanic American Indian or Alaska Native,0
2020,1,65-74 years,Non-Hispanic American Indian or Alaska Native,0
2020,1,75 years and over,Non-Hispanic American Indian or Alaska Native,0
2020,1,0-4 years,Non-Hispanic Asian,0
2020,1,12-17 years,Non-Hispanic Asian,0
2020,1,18-29 years,Non-Hispanic Asian,0
2020,1,30-39 years,Non-Hispanic Asian,0
2020,1,40-49 years,Non-Hispanic Asian,0
2020,1,5-11 years,Non-Hispanic Asian,0
2020,1,50-64 years,Non-Hispanic Asian,0
2020,1,65-74 years,Non-Hispanic Asian,0
2020,1,75 years and over,Non-Hispanic Asian,0
2020,1,0-4 years,"Non-Hispanic Asian, Native Hawaiian or Other Pacific Islander",0
2020,1,12-17 years,"Non-Hispanic Asian, Native Hawaiian or Other Pacific Islander",0
2020,1,18-29 years,"Non-Hispanic Asian, Native Hawaiian or Other Pacific Islander",0
2020,1,30-39 years,"Non-Hispanic Asian, Native Hawaiian or Other Pacific Islander",0
2020,1,40-49 years,"Non-Hispanic Asian, Native Hawaiian or Other Pacific Islander",0
2020,1,5-11 years,"Non-Hispanic Asian, Native Hawaiian or Other Pacific Islander",0
2020,1,50-64 years,"Non-Hispanic Asian, Native Hawaiian or Other Pacific Islander",0
2020,1,65-74 years,"Non-Hispanic Asian, Native Hawaiian or Other Pacific Islander",0
2020,1,75 years and over,"Non-Hispanic Asian, Native Hawaiian or Other Pacific Islander",0
2020,1,0-4 years,Non-Hispanic Black,0
2020,1,12-17 years,Non-Hispanic Black,0
2020,1,18-29 years,Non-Hispanic Black,0
2020,1,30-39 years,Non-Hispanic Black,0
2020,1,40-49 years,Non-Hispanic Black,0
2020,1,5-11 years,Non-Hispanic Black,0
2020,1,50-64 years,Non-Hispanic Black,0
2020,1,65-74 years,Non-Hispanic Black,0
2020,1,75 years and over,Non-Hispanic Black,0
2020,1,0-4 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0
2020,1,12-17 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0
